id,name,social_security,phonenumber,address,email
1,Gunna Ásgeirs,0608022620,6930689, Kjalarland 7,gunna@rapper.is
2,Þorri Hallgrímsson,2406992309,5516881,Ólafsgeisli 39,thorrih99@gmail.com
3,Gilfi sig,69696949,5516001,Hádegismóar 14,gilfinn@gmail.com
4,Magdalena,25303502010,6013020,Stóruvellir 87,magga@gmail.com
5,Kolli,2402192039,8934999,litlidalur 29,kolli@gmail.com
6,Halli,240010230,8944424,ólafsgeisli 13,halli@gmail.com
7,Hlynur,239193132,8912393,hólmsvöllur 13,hlynsi@vebmail.com
8,Álfheiður,1312392102,6959392,kóbasker 31,alfi@gmail.com
9,Friðrik,21292398,6739120,hvammasker 30,frikkiferski@gmail.com
10,Jónina,1203231023,7731394,blöndós 12,jóa@gmail.com
11,Matti,1504121239,6941293,skipholt 12,matti@gmail.com
12,Þorsteinn,25301230,7441123,jónsgeisli 13,torzsti@gmail.com
13,Halldór,1402022740,8823458,Haskolavegur 1,hlynur@gmail.com
14,Magdalena,7767696,8980869,Háskólinn 4, magdalena@gmail.com
15,Þorri,2406992309,6965889,þadadsa 53,fram@gmail.com
16,Róbert,2406992309,8888888,froskur 23,þorri@gmail.com
17,Stígur,2406992309,1234567,jesus.ada@is
18,Doddi,2406992309,1234567,daddagata 5,asda.sdfs@
19,Margrét,1234567891,1234567,asd,fram@asd.is
20,Óliver,1234567891,7777777,123,þorri.@asd.is
21,Hildur,1234567890,5678906,bub 7,bb@gmail.vom
22,Jón,1234567890,1234567,gghhh 8,fgggg@ddd.com
23,Bessi,1234567890,1234567,ghh 8,fgggg@hh.com
24,Kjartan,1234567890,1234567,kjkjj 7,gjgj\@jjj.pl
25,Þóra,1234567890,1234567,njk 7,kjnjk@gmail.com
26,Anna,1234567890,1234567,njk 7,kjnjk@gmail.com
27,Elísa,1234567890,1234567,njk 7,kjnjk@gmail.com
28,Nadía,1234567890,1234567,njk 7,kjnjk@gmail.com
29,Helga,1234567890,1234567,njk 7,kjnjk@gmail.com
30,Embla,1234567890,1234567,njk 7,kjnjk@gmail.com
31,Viktoría,1234567890,1234567,njk 7,kjnjk@gmail.com
32,Arnar,1234567890,1234567,njk 7,kjnjk@gmail.com
